colony,round,install_date,harvest_date,treatment,comb,area_sqs,height_cm,width_cm,attachment,aspect_hw,area_cm2
1,1,9-May-22,13-May-22,vertical,1,0.5,6,3.0,wall,2.0,12.5
1,1,9-May-22,13-May-22,vertical,2,6.0,30,7.0,wall,4.286,150.0
1,1,9-May-22,13-May-22,vertical,3,1.0,9,4.0,wall,2.25,25.0
1,1,9-May-22,13-May-22,vertical,4,3.0,16,5.0,wall,3.2,75.0
1,1,9-May-22,13-May-22,vertical,5,4.5,23,7.0,wall,3.286,112.5
1,1,9-May-22,13-May-22,vertical,6,8.0,40,9.0,wall,4.444,200.0
1,1,9-May-22,13-May-22,vertical,7,11.0,46,9.0,wall,5.111,275.0
1,1,9-May-22,13-May-22,vertical,8,6.0,29,7.0,wall,4.143,150.0
2,1,9-May-22,13-May-22,horizontal,1,2.5,11,7.0,ceiling,1.571,62.5
3,1,9-May-22,13-May-22,horizontal,1,4.5,16,9.0,ceiling,1.778,112.5
3,1,9-May-22,13-May-22,horizontal,2,13.0,29,16.0,ceiling,1.812,325.0
3,1,9-May-22,13-May-22,horizontal,3,7.0,21,13.0,ceiling,1.615,175.0
3,1,9-May-22,13-May-22,horizontal,4,0.5,5,2.0,ceiling,2.5,12.5
4,1,9-May-22,13-May-22,vertical,1,20.0,73,11.0,wall,6.636,500.0
4,1,9-May-22,13-May-22,vertical,2,3.5,14,10.0,ceiling,1.4,87.5
5,1,9-May-22,13-May-22,horizontal,1,1.5,8,5.0,ceiling,1.6,37.5
5,1,9-May-22,13-May-22,horizontal,2,6.0,17,14.0,ceiling,1.214,150.0
5,1,9-May-22,13-May-22,horizontal,3,8.0,22,15.0,ceiling,1.467,200.0
5,1,9-May-22,13-May-22,horizontal,4,4.0,21,6.0,ceiling,3.5,100.0
5,1,9-May-22,13-May-22,horizontal,5,6.0,18,11.0,ceiling,1.636,150.0
5,1,9-May-22,13-May-22,horizontal,6,3.0,15,9.0,ceiling,1.667,75.0
6,1,9-May-22,13-May-22,vertical,1,2.0,11,6.0,ceiling,1.833,50.0
6,1,9-May-22,13-May-22,vertical,2,8.0,17,15.0,ceiling,1.133,200.0
6,1,9-May-22,13-May-22,vertical,3,10.0,18,20.0,ceiling,0.9,250.0
6,1,9-May-22,13-May-22,vertical,4,7.0,16,15.0,ceiling,1.067,175.0
7,2,20-May-22,24-May-22,horizontal,1,0.5,4,3.0,wall,1.333,12.5
8,2,20-May-22,24-May-22,vertical,1,1.5,14,5.0,wall,2.8,37.5
8,2,20-May-22,24-May-22,vertical,2,1.5,9,5.0,ceiling,1.8,37.5
8,2,20-May-22,24-May-22,vertical,3,5.0,12,13.0,ceiling,0.923,125.0
9,2,20-May-22,24-May-22,vertical,1,0.75,10,4.0,wall,2.5,18.75
9,2,20-May-22,24-May-22,vertical,2,5.0,25,9.0,wall,2.778,125.0
10,2,20-May-22,24-May-22,horizontal,1,2.0,9,7.0,ceiling,1.286,50.0
10,2,20-May-22,24-May-22,horizontal,2,5.0,16,12.0,ceiling,1.333,125.0
10,2,20-May-22,24-May-22,horizontal,3,1.5,10,7.0,ceiling,1.429,37.5
11,2,20-May-22,24-May-22,vertical,1,2.0,16,5.0,wall,3.2,50.0
16,3,18-Jun-22,22-Jun-22,horizontal,1,0.5,5,3.0,ceiling,1.667,12.5
18,3,18-Jun-22,22-Jun-22,vertical,1,0.25,3,1.5,wall,2.0,6.25
